state_name,district,commodity,year,month,price_mean,price_sd,n_mandis
Gujarat,Amreli,cotton,2021,1,5328.5,255.14,5
Gujarat,Amreli,cotton,2021,2,5555.8,201.76,5
Gujarat,Amreli,cotton,2021,3,5720.65,339.95,5
Gujarat,Amreli,cotton,2021,4,5849.44,371.12,5
Gujarat,Amreli,cotton,2021,5,6264.28,427.94,4
Gujarat,Amreli,cotton,2021,6,6458.43,499.19,5
Gujarat,Amreli,cotton,2021,7,6510.53,754.06,5
Gujarat,Amreli,cotton,2021,8,6758.35,880.92,5
Gujarat,Amreli,cotton,2021,9,5248.58,401.85,5
Gujarat,Amreli,cotton,2021,10,6708.02,472.93,5
Gujarat,Amreli,cotton,2021,11,7632.61,524.37,6
Gujarat,Amreli,cotton,2021,12,8059.61,506.3,6
Gujarat,Amreli,cotton,2022,1,8704.21,319.61,6
Gujarat,Amreli,cotton,2022,2,8892.2,314.84,6
Gujarat,Amreli,cotton,2022,3,8798.31,557.82,6
Gujarat,Amreli,cotton,2022,4,10075.71,698.2,6
Gujarat,Amreli,cotton,2022,5,10573.3,1008.54,6
Gujarat,Amreli,cotton,2022,6,10388.6,720.7,6
Gujarat,Amreli,cotton,2022,7,9220.14,936.66,4
Gujarat,Amreli,cotton,2022,8,10406.94,833.43,5
Gujarat,Amreli,cotton,2022,9,8655.84,570.59,6
Gujarat,Amreli,cotton,2022,10,8433.3,210.08,6
Gujarat,Amreli,cotton,2022,11,8859.42,142.24,6
Gujarat,Amreli,cotton,2022,12,8267.4,171.01,6
Gujarat,Amreli,cotton,2023,1,8250.27,239.91,6
Gujarat,Amreli,cotton,2023,2,7886.54,294.52,6
Gujarat,Amreli,cotton,2023,3,7455.16,281.29,6
Gujarat,Amreli,cotton,2023,4,7666.05,269.51,6
Gujarat,Amreli,cotton,2023,5,7130.16,333.63,6
Gujarat,Amreli,cotton,2023,6,6842.29,358.53,6
Gujarat,Amreli,cotton,2023,7,6524.97,440.2,6
Gujarat,Amreli,cotton,2023,8,6958.09,549.73,6
