state_name,market_name,district,commodity,year,month,arrivals_mt,modal_price_avg,min_price_avg,max_price_avg,n_obs,mandi_id
Tamil Nadu,Kolathur APMC,,cotton,2021,2,3.54,5400.57,5299.72,5501.41,5,
Tamil Nadu,Kolathur APMC,,cotton,2021,3,68.16,4841.92,4718.34,4965.49,20,
Tamil Nadu,Kolathur APMC,,cotton,2021,4,64.09,4001.98,3901.97,4102,10,
Tamil Nadu,Kolathur APMC,,cotton,2021,5,0.08,5750,5500,6000,8,
Tamil Nadu,Kolathur APMC,,cotton,2021,6,45.09,5677.29,5477.29,5877.29,11,
Tamil Nadu,Kolathur APMC,,cotton,2021,7,254.44,5665.15,5518.48,5811.81,24,
Tamil Nadu,Kolathur APMC,,cotton,2021,8,130.11,7119.29,6953.89,7284.69,21,
Tamil Nadu,Kolathur APMC,,cotton,2021,9,44.12,6479.52,6354.53,6604.51,16,
Tamil Nadu,Kolathur APMC,,cotton,2021,10,122.03,4593.57,4391.94,4795.2,6,
Tamil Nadu,Kolathur APMC,,cotton,2021,11,82.08,4517.02,4417.01,4617.02,10,
Tamil Nadu,Kolathur APMC,,cotton,2021,12,45.06,4600.09,4500.09,4700.09,7,
Tamil Nadu,Kolathur APMC,,cotton,2022,1,140.61,7443.51,6762.76,8124.26,13,
Tamil Nadu,Kolathur APMC,,cotton,2022,2,257.14,8718.58,8360.49,9076.66,18,
Tamil Nadu,Kolathur APMC,,cotton,2022,3,257.73,9533.38,9281.15,9785.61,21,
Tamil Nadu,Kolathur APMC,,cotton,2022,4,41.77,10776.6,10131.48,11421.71,15,
Tamil Nadu,Kolathur APMC,,cotton,2022,5,22.24,10195.28,10045.82,10344.74,15,
Tamil Nadu,Kolathur APMC,,cotton,2022,6,208.35,8319.3,7961.25,8677.34,17,
Tamil Nadu,Kolathur APMC,,cotton,2022,7,191.43,7322.81,7049.47,7596.14,16,
Tamil Nadu,Kolathur APMC,,cotton,2022,8,139.68,9867.29,9627.43,10107.15,16,
Tamil Nadu,Kolathur APMC,,cotton,2022,9,74.76,7631.64,7222.08,8041.19,18,
Tamil Nadu,Kolathur APMC,,cotton,2022,10,84.71,6949.21,6699.21,7199.21,16,
Tamil Nadu,Kolathur APMC,,cotton,2022,11,34.76,6962.55,6712.46,7212.63,19,
Tamil Nadu,Kolathur APMC,,cotton,2022,12,6.61,6575.57,6345.08,6806.05,18,
Tamil Nadu,Kolathur APMC,,cotton,2023,1,405.5,6921.66,6706.61,7136.71,22,
Tamil Nadu,Kolathur APMC,,cotton,2023,2,182.17,7200.02,7100.01,7300.03,11,
Tamil Nadu,Kolathur APMC,,cotton,2023,3,359.49,6847.9,6747.9,6947.9,12,
Tamil Nadu,Kolathur APMC,,cotton,2023,4,40.42,7099.4,6999.37,7199.42,14,
Tamil Nadu,Kolathur APMC,,cotton,2023,5,105.07,6910.44,6800,7020.87,10,
Tamil Nadu,Kolathur APMC,,cotton,2023,6,249.42,5539.21,5428.85,5649.57,13,
Tamil Nadu,Kolathur APMC,,cotton,2023,7,347.71,5377.92,5250.62,5505.22,18,
Tamil Nadu,Kolathur APMC,,cotton,2023,8,127.66,6597.34,6357.37,6837.32,12,
Tamil Nadu,Kolathur APMC,,cotton,2023,9,0.07,6664.29,6471.43,6857.14,7,
Tamil Nadu,Kolathur APMC,,cotton,2023,10,24.69,6333.05,6166.1,6500,8,
Tamil Nadu,Kolathur APMC,,cotton,2023,11,3.41,6250,6000,6500,2,
Tamil Nadu,Kolathur APMC,,cotton,2023,12,3.22,6150,6000,6300,3,
Tamil Nadu,Kolathur APMC,,cotton,2024,1,43.24,5999.14,5865.45,6132.82,6,
Tamil Nadu,Kolathur APMC,,cotton,2024,2,40.91,6118.33,6018.33,6218.33,10,
Tamil Nadu,Kolathur APMC,,cotton,2024,3,43.45,7366.93,7231.14,7502.72,8,
Tamil Nadu,Kolathur APMC,,cotton,2024,4,8.27,7276.12,7201.27,7350.97,5,
Tamil Nadu,Kolathur APMC,,cotton,2024,5,12.32,7229.71,7047.32,7412.09,5,
Tamil Nadu,Kolathur APMC,,cotton,2024,6,3.47,6152.16,6002.59,6301.73,8,
Chhattisgarh,Keshkal APMC,,maize,2021,1,1413,1155.26,1124.9,1185.61,24,
Chhattisgarh,Keshkal APMC,,maize,2021,2,1602.6,1150,1100,1200,22,
Chhattisgarh,Keshkal APMC,,maize,2021,3,473.4,1250,1200,1300,18,
Chhattisgarh,Keshkal APMC,,maize,2021,4,150.8,1315.05,1286.74,1343.37,7,
Chhattisgarh,Keshkal APMC,,maize,2021,5,2615.6,1326.1,1300,1352.2,17,
Chhattisgarh,Keshkal APMC,,maize,2021,6,11083.7,1357.46,1329.11,1385.8,29,
Chhattisgarh,Keshkal APMC,,maize,2021,7,1113.8,1331.49,1305.19,1357.78,26,
Chhattisgarh,Keshkal APMC,,maize,2021,8,553.9,1450,1400,1500,19,
Chhattisgarh,Keshkal APMC,,maize,2021,9,256.3,1450,1400,1500,19,
Chhattisgarh,Keshkal APMC,,maize,2021,10,308.2,1455.92,1411.84,1500,11,
Chhattisgarh,Keshkal APMC,,maize,2021,11,1696.6,1493.31,1453.47,1533.15,22,
Chhattisgarh,Keshkal APMC,,maize,2021,12,3419.4,1537.22,1511.46,1562.98,30,
Chhattisgarh,Keshkal APMC,,maize,2022,1,1201.2,1558.85,1527.74,1589.95,29,
Chhattisgarh,Keshkal APMC,,maize,2022,2,566.4,1731.43,1681.43,1781.43,19,
Chhattisgarh,Keshkal APMC,,maize,2022,3,162.8,1846.81,1796.81,1896.81,15,
Chhattisgarh,Keshkal APMC,,maize,2022,4,246.8,2047.86,1965.24,2130.47,17,
Chhattisgarh,Keshkal APMC,,maize,2022,5,1217.1,2039.76,1969.41,2110.11,29,
Chhattisgarh,Keshkal APMC,,maize,2022,6,2852.7,1983.46,1950,2016.92,27,
Chhattisgarh,Keshkal APMC,,maize,2022,7,286.1,2048.53,1953.51,2143.55,19,
Chhattisgarh,Keshkal APMC,,maize,2022,8,557.2,2223.39,2170.69,2276.08,25,
Chhattisgarh,Keshkal APMC,,maize,2022,9,350.2,2250,2200,2300,18,
Chhattisgarh,Keshkal APMC,,maize,2022,10,27.8,1944.96,1857.55,2032.37,3,
