state_name,commodity,year,month,price_mean,price_sd,n_mandis
Andhra Pradesh,cotton,2022,1,8701.41,0,1
Andhra Pradesh,cotton,2022,2,9152.51,0,1
Andhra Pradesh,cotton,2022,3,9182.75,0,1
Andhra Pradesh,cotton,2022,4,9798.45,0,1
Andhra Pradesh,cotton,2022,5,11837.78,0,1
Andhra Pradesh,cotton,2022,6,11145.81,0,1
Andhra Pradesh,cotton,2022,7,9416.35,0,1
Andhra Pradesh,cotton,2022,8,10246.4,0,1
Andhra Pradesh,cotton,2022,9,8951.68,0,1
Andhra Pradesh,cotton,2022,10,8326.95,0,1
Andhra Pradesh,cotton,2022,11,8485.23,0,1
Andhra Pradesh,cotton,2022,12,8230.7,0,1
Andhra Pradesh,cotton,2023,1,8047.01,0,1
Andhra Pradesh,cotton,2023,2,7768.84,0,1
Andhra Pradesh,cotton,2023,3,7415.86,0,1
Andhra Pradesh,cotton,2023,4,7559.25,0,1
Andhra Pradesh,cotton,2023,5,7143.89,0,1
Andhra Pradesh,cotton,2023,6,6984.28,0,1
Andhra Pradesh,cotton,2023,7,6917.55,0,1
Andhra Pradesh,cotton,2023,8,7309.8,0,1
Andhra Pradesh,cotton,2023,9,7353.95,0,1
Andhra Pradesh,cotton,2023,10,7363.64,0,1
Andhra Pradesh,cotton,2023,11,7263.28,0,1
Andhra Pradesh,cotton,2023,12,6999.12,0,1
Andhra Pradesh,cotton,2024,1,6930.62,0,1
Andhra Pradesh,cotton,2024,2,6935.78,0,1
Andhra Pradesh,cotton,2024,3,7507.22,0,1
Andhra Pradesh,cotton,2024,4,7452.06,0,1
Andhra Pradesh,cotton,2024,5,7339.55,0,1
Andhra Pradesh,cotton,2024,6,7311.9,0,1
Andhra Pradesh,cotton,2024,7,7367.58,0,1
Andhra Pradesh,cotton,2024,8,7437.36,0,1
Andhra Pradesh,cotton,2024,9,7512.6,0,1
Andhra Pradesh,cotton,2024,10,7305.57,0,1
Andhra Pradesh,cotton,2024,11,7141.78,0,1
Andhra Pradesh,cotton,2024,12,7076.85,0,1
Andhra Pradesh,cotton,2025,1,7269.55,4.07,2
Andhra Pradesh,cotton,2025,2,7221.1,0,1
Andhra Pradesh,cotton,2025,3,7364.98,0,1
Andhra Pradesh,cotton,2025,4,7612.3,0,1
Andhra Pradesh,cotton,2025,5,7541.6,0,1
Andhra Pradesh,cotton,2025,6,7714.68,0,1
Andhra Pradesh,cotton,2025,7,7960.04,0,1
Andhra Pradesh,cotton,2025,8,7778.32,0,1
Andhra Pradesh,cotton,2025,9,7365.06,0,1
Andhra Pradesh,cotton,2025,10,7290.84,0,1
Andhra Pradesh,cotton,2025,11,7190.82,0,1
Andhra Pradesh,cotton,2025,12,7285.06,0,1
Gujarat,cotton,2021,1,5529.51,902.85,36
Gujarat,cotton,2021,2,5511.64,238.12,35
Gujarat,cotton,2021,3,5844.69,570.4,31
Gujarat,cotton,2021,4,5860.29,366.09,25
Gujarat,cotton,2021,5,5928.11,614.81,14
Gujarat,cotton,2021,6,6302.2,563.67,18
Gujarat,cotton,2021,7,6512.34,845.31,10
Gujarat,cotton,2021,8,7154.17,1727.8,11
Gujarat,cotton,2021,9,5249.43,653.08,18
Gujarat,cotton,2021,10,7096.28,487.55,36
Gujarat,cotton,2021,11,7791.57,480.78,35
Gujarat,cotton,2021,12,7981.08,515.2,35
Gujarat,cotton,2022,1,8835.76,502.74,37
Gujarat,cotton,2022,2,8993.32,651.62,34
Gujarat,cotton,2022,3,9078.89,619.8,32
Gujarat,cotton,2022,4,10327.43,978.87,29
Gujarat,cotton,2022,5,10699.72,826.96,28
Gujarat,cotton,2022,6,10442.99,1185.69,22
Gujarat,cotton,2022,7,8878.78,1499.96,11
Gujarat,cotton,2022,8,10142.32,787.53,9
Gujarat,cotton,2022,9,8507.54,499.76,24
Gujarat,cotton,2022,10,8388.38,281.5,32
Gujarat,cotton,2022,11,8712.44,245.16,32
Gujarat,cotton,2022,12,8240.13,218.54,32
Gujarat,cotton,2023,1,8143.75,295.57,31
Gujarat,cotton,2023,2,7880.9,270.28,32
Gujarat,cotton,2023,3,7569.76,273.42,28
Gujarat,cotton,2023,4,7833.66,269.84,31
Gujarat,cotton,2023,5,7225.51,411.4,32
Gujarat,cotton,2023,6,6923.6,305.49,30
Gujarat,cotton,2023,7,6742.26,380.58,22
Gujarat,cotton,2023,8,6867.96,1299.96,21
Gujarat,cotton,2023,9,6647.88,1134.44,27
Gujarat,cotton,2023,10,6781.69,975.83,35
Gujarat,cotton,2023,11,6878.99,866.31,35
Gujarat,cotton,2023,12,6733.07,344.91,35
Gujarat,cotton,2024,1,6571.23,376.9,34
Gujarat,cotton,2024,2,6644.17,337.27,35
Gujarat,cotton,2024,3,7232.76,368.11,32
Gujarat,cotton,2024,4,7037.16,359.21,37
Gujarat,cotton,2024,5,6869.36,346.91,36
Gujarat,cotton,2024,6,6810.74,360.55,28
Gujarat,cotton,2024,7,6955.65,485.46,23
Gujarat,cotton,2024,8,7068.26,475.09,23
Gujarat,cotton,2024,9,7068.13,512.92,32
Gujarat,cotton,2024,10,6978.61,442.24,46
Gujarat,cotton,2024,11,7149.65,253.27,46
Gujarat,cotton,2024,12,7012.79,225.85,44
Gujarat,cotton,2025,1,7020.11,285.94,44
Gujarat,cotton,2025,2,6899.38,294.5,44
Gujarat,cotton,2025,3,6897.17,302.17,45
Gujarat,cotton,2025,4,6939.42,342.64,38
Gujarat,cotton,2025,5,7017.8,295.85,31
Gujarat,cotton,2025,6,7099.05,451.69,26
Gujarat,cotton,2025,7,7352.94,586.18,23
Gujarat,cotton,2025,8,7431.49,552.39,22
Gujarat,cotton,2025,9,6772.67,547.96,34
Gujarat,cotton,2025,10,6877.58,368.01,41
Gujarat,cotton,2025,11,6896.86,325.53,41
Gujarat,cotton,2025,12,7092.55,372.67,39
Haryana,cotton,2021,3,6019.38,143.56,3
Haryana,cotton,2021,4,6100,0,1
Haryana,cotton,2021,6,7000,0,1
Haryana,cotton,2021,10,6906.78,591.69,2
Haryana,cotton,2021,12,7762.57,645.31,12
Haryana,cotton,2022,1,8005.14,623.19,16
Haryana,cotton,2022,2,8397.47,919.79,12
Haryana,cotton,2022,3,8658.93,1008.59,9
Haryana,cotton,2022,4,9295.49,1139.77,9
Haryana,cotton,2022,5,9181.14,1665.05,7
Haryana,cotton,2022,6,10221.67,1231.31,2
Haryana,cotton,2022,8,9480,0,1
Haryana,cotton,2022,9,9037.37,471.41,10
Haryana,cotton,2022,10,8151.94,611.37,9
Haryana,cotton,2022,11,8231.26,355.52,12
Haryana,cotton,2022,12,8251.85,410.5,11
Haryana,cotton,2023,1,8194.93,420.04,12
Haryana,cotton,2023,2,7795.17,242.89,10
Haryana,cotton,2023,3,7355.42,428.66,10
Haryana,cotton,2023,4,7631.72,178.93,7
Haryana,cotton,2023,5,7260.82,171.8,10
Haryana,cotton,2023,6,6801.42,721.47,8
Haryana,cotton,2023,7,6683.85,333.15,5
Haryana,cotton,2023,8,6510.56,295.61,13
Haryana,cotton,2023,9,7012.82,283.97,25
Haryana,cotton,2023,10,6915.85,323.57,19
Haryana,cotton,2023,11,6593.44,411.38,15
Haryana,cotton,2023,12,6302.93,536.43,16
Haryana,cotton,2024,1,6261.43,261.25,17
Haryana,cotton,2024,2,6225.67,353.03,13
Haryana,cotton,2024,3,6514.29,468.13,13
Haryana,cotton,2024,4,6567.32,256.95,11
Haryana,cotton,2024,5,6558.92,266.14,5
Haryana,cotton,2024,6,6729.5,126.34,6
Haryana,cotton,2024,7,6943.73,234.74,6
Haryana,cotton,2024,8,6758.18,200.57,2
Haryana,cotton,2024,9,6862.29,244.32,11
Haryana,cotton,2024,10,7464.73,363.09,17
Haryana,cotton,2024,11,7277.14,261.4,18
Haryana,cotton,2024,12,7142.97,243.66,17
Haryana,cotton,2025,1,7112.3,277.05,17
Haryana,cotton,2025,2,7109.63,169.16,21
Haryana,cotton,2025,3,7130.82,206.28,16
Haryana,cotton,2025,4,7269.88,159.84,12
Haryana,cotton,2025,5,7594.55,106.55,7
Haryana,cotton,2025,6,7645,119.84,6
Haryana,cotton,2025,7,7584.9,223.34,4
Haryana,cotton,2025,8,7010.25,763.74,7
Haryana,cotton,2025,9,6739.84,505.51,15
Haryana,cotton,2025,10,6718.4,441.96,18
Haryana,cotton,2025,11,6672.38,670.17,24
Haryana,cotton,2025,12,6827.79,645.59,21
Madhya Pradesh,cotton,2021,1,6281.83,1044.46,9
Madhya Pradesh,cotton,2021,2,6161.03,891.7,14
Madhya Pradesh,cotton,2021,3,5713.83,833.07,12
Madhya Pradesh,cotton,2021,4,5673.4,574.41,8
Madhya Pradesh,cotton,2021,5,5556.09,643.48,5
Madhya Pradesh,cotton,2021,6,5919.13,804.32,4
Madhya Pradesh,cotton,2021,8,7125,0,1
Madhya Pradesh,cotton,2021,9,4738.44,504.53,7
Madhya Pradesh,cotton,2021,10,6197.32,795.34,8
Madhya Pradesh,cotton,2021,11,8560.76,1719.21,13
Madhya Pradesh,cotton,2021,12,8518.32,1288.45,13
Madhya Pradesh,cotton,2022,1,9115.4,774.54,15
Madhya Pradesh,cotton,2022,2,9030.64,666.94,16
Madhya Pradesh,cotton,2022,3,9231.04,539.71,15
Madhya Pradesh,cotton,2022,4,9592.61,1294.02,14
Madhya Pradesh,cotton,2022,5,9463.69,825.96,11
Madhya Pradesh,cotton,2022,6,9976.36,994.43,5
Madhya Pradesh,cotton,2022,7,11000,0,1
Madhya Pradesh,cotton,2022,8,9860,0,1
Madhya Pradesh,cotton,2022,9,7785.62,596.91,8
Madhya Pradesh,cotton,2022,10,7532.15,601.15,14
Madhya Pradesh,cotton,2022,11,8233.97,328.49,16
Madhya Pradesh,cotton,2022,12,7710.7,453.39,16
Madhya Pradesh,cotton,2023,1,7524.32,413.77,16
Madhya Pradesh,cotton,2023,2,7578.74,144.49,16
Madhya Pradesh,cotton,2023,3,7505.88,192.29,16
Madhya Pradesh,cotton,2023,4,7482.61,465.14,13
Madhya Pradesh,cotton,2023,5,7015.96,337.66,13
Madhya Pradesh,cotton,2023,6,6847.12,266.75,11
Madhya Pradesh,cotton,2023,7,6562.32,303.59,8
Madhya Pradesh,cotton,2023,8,6647.48,591.35,7
Madhya Pradesh,cotton,2023,9,5987.11,1054.59,10
Madhya Pradesh,cotton,2023,10,6476.35,433.37,14
Madhya Pradesh,cotton,2023,11,7006.23,429.16,15
Madhya Pradesh,cotton,2023,12,6963.99,548.87,15
Madhya Pradesh,cotton,2024,8,7060.54,277.02,5
Madhya Pradesh,cotton,2024,9,6016.81,653.82,7
Madhya Pradesh,cotton,2024,10,6281.61,596.83,12
Madhya Pradesh,cotton,2024,11,7563.04,1148.67,18
Madhya Pradesh,cotton,2024,12,7414.51,1092.33,18
Madhya Pradesh,cotton,2025,1,7325.39,596.21,18
Madhya Pradesh,cotton,2025,2,7308.54,594.4,17
Madhya Pradesh,cotton,2025,3,7023.24,418.97,14
Madhya Pradesh,cotton,2025,4,7110.92,465.45,13
Madhya Pradesh,cotton,2025,5,6991.36,365.74,8
Madhya Pradesh,cotton,2025,6,6662.98,592.43,7
Madhya Pradesh,cotton,2025,7,7700,0,1
Madhya Pradesh,cotton,2025,8,8807.9,1687.3,2
Madhya Pradesh,cotton,2025,9,5521.84,383.25,8
Madhya Pradesh,cotton,2025,10,6538.67,541.16,14
Madhya Pradesh,cotton,2025,11,6612.58,481.84,17
Madhya Pradesh,cotton,2025,12,6990.71,401.41,17
Maharashtra,cotton,2021,1,5568.57,134.86,18
Maharashtra,cotton,2021,2,5736.34,193.03,14
Maharashtra,cotton,2021,3,5833.13,356.85,10
Maharashtra,cotton,2021,4,5730.88,381.55,6
Maharashtra,cotton,2021,5,5500,707.11,2
Maharashtra,cotton,2021,10,7611.04,593.28,9
Maharashtra,cotton,2021,11,8112.03,171.79,13
Maharashtra,cotton,2021,12,8308.96,163.84,16
Maharashtra,cotton,2022,1,9472.25,279.83,16
Maharashtra,cotton,2022,2,9637.28,414.64,15
Maharashtra,cotton,2022,3,9682.51,622.21,12
Maharashtra,cotton,2022,4,10815.67,754.18,9
Maharashtra,cotton,2022,5,10527.74,709.65,6
Maharashtra,cotton,2022,10,7581.25,521.49,2
Maharashtra,cotton,2022,11,8833.54,211.32,11
Maharashtra,cotton,2022,12,8230.99,153.83,18
Maharashtra,cotton,2023,1,8082.85,248.89,16
Maharashtra,cotton,2023,2,7900.82,138.46,15
Maharashtra,cotton,2023,3,7643.63,183.39,14
Maharashtra,cotton,2023,4,7693.38,263.5,13
Maharashtra,cotton,2023,5,7245.78,197.88,12
